date,genotype,strain,strain-sum,treatment,assay,group,A,B,CD(Left),CD(middle),CD(right),E,F(ETOH),User,note
11_20_15,N2,OP50,OP(Dead),,oct,,4,1,1,0,2,6,32,PHC,
11_20_15,N2,OP50,OP(Dead),,oct,,3,0,1,1,0,2,44,PHC,
11_20_15,N2,OP50,OP(Dead),,oct,,5,2,2,2,1,4,75,PHC,
11_20_15,N2,,JUb39(Dead),,oct,,7,0,1,2,1,2,85,PHC,
11_20_15,N2,,JUb39(Dead),,oct,,47,2,1,2,1,1,156,PHC,
11_20_15,N2,,JUb39(Dead),,oct,,14,3,6,5,4,13,132,PHC,
11_20_15,N2,OP50,OP50,,oct,,8,0,1,5,0,2,105,MOD,
11_20_15,N2,OP50,OP50,,oct,,2,0,1,0,0,1,25,MOD,
11_20_15,N2,OP50,OP50,,oct,,14,1,0,13,2,7,43,MOD,
11_20_15,N2,,JUb39,,oct,,10,0,0,1,0,0,36,MOD,
11_20_15,N2,,JUb39,,oct,,12,1,1,1,1,1,66,MOD,
11_20_15,N2,,JUb39,,oct,,39,4,3,6,3,5,8,MOD,
11_20_15,aex-4,,JUb39,,oct,,32,4,0,2,1,1,27,MOD,
11_20_15,aex-4,,JUb39,,oct,,3,1,1,0,0,0,10,MOD,
11_20_15,aex-4,,JUb39,,oct,,15,4,2,4,0,2,18,MOD,
11_24_15,N2,,JUb39(Dead),,oct,,0,1,3,7,10,82,101,PHC,
11_24_15,N2,,JUb39(Dead),,oct,,1,1,10,8,14,69,106,PHC,
11_24_15,N2,,JUb39(Dead),,oct,,1,0,7,12,9,106,94,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,3,0,0,6,3,93,158,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,2,1,2,6,3,98,72,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,0,1,2,3,3,78,108,PHC,
11_24_15,N2,OP50,OP to JU,,oct,,0,0,0,5,1,5,71,PHC,
11_24_15,N2,OP50,OP to JU,,oct,,1,0,0,0,0,8,63,PHC,
11_24_15,N2,,JU to OP,,oct,,33,0,5,2,3,15,164,PHC,
11_24_15,N2,,JU to OP,,oct,,13,0,3,2,1,10,86,PHC,
11_24_15,N2,,JUb39(Dead),,oct,,0,0,2,29,2,32,14,PHC,
11_24_15,N2,,JUb39(Dead),,oct,,0,0,1,17,2,56,26,PHC,
11_24_15,N2,,JUb39(Dead),,oct,,0,1,0,8,0,29,5,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,0,0,1,1,0,52,39,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,0,0,2,2,1,85,41,PHC,
11_24_15,N2,OP50,OP(Dead),,oct,,0,0,1,4,2,84,84,PHC,
11_24_15,N2,,JUb39,,oct,,10,8,6,12,8,42,181,PHC,
11_24_15,N2,,JUb39,,oct,,2,2,0,16,11,44,137,PHC,
11_24_15,N2,,JUb39,,oct,,4,2,2,6,0,38,262,PHC,
11_24_15,N2,OP50,OP50,,oct,,0,0,2,0,2,27,121,PHC,
11_24_15,N2,OP50,OP50,,oct,,1,0,0,2,1,24,133,PHC,
11_24_15,N2,OP50,OP50,,oct,,0,0,0,2,0,14,58,PHC,
11_24_15,aex-4,,JUb39,,oct,,8,0,2,2,1,5,323,PHC,
11_24_15,aex-4,,JUb39,,oct,,9,4,2,1,4,9,270,PHC,
11_24_15,aex-4,,JUb39,,oct,,6,1,0,2,1,5,158,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,2,0,1,2,1,9,112,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,2,0,1,2,0,10,125,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,0,0,1,0,1,28,292,PHC,
11_24_15,aex-4,,JUb39,,oct,,19,1,3,1,1,13,269,PHC,
11_24_15,aex-4,,JUb39,,oct,,15,2,0,5,2,33,139,PHC,
11_24_15,aex-4,,JUb39,,oct,,21,0,2,1,1,7,242,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,0,0,0,3,0,7,160,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,0,0,0,2,1,12,132,PHC,
11_24_15,aex-4,OP50,OP50,,oct,,1,1,2,1,1,33,105,PHC,
12_7_15,N2,,OP50_JU-LID,,oct,,0,0,0,2,0,7,55,MOD,
12_7_15,N2,,OP50_JU-LID,,oct,,2,2,0,1,1,8,56,MOD,
12_7_15,N2,,OP50_JU-LID,,oct,,0,1,2,4,0,33,42,MOD,
12_7_15,N2,,JUb39_OP-LID,,oct,,21,2,0,5,3,11,132,MOD,
12_7_15,N2,,JUb39_OP-LID,,oct,,13,2,2,7,0,1,91,MOD,
12_7_15,N2,,JUb39_OP-LID,,oct,,12,0,0,2,5,2,85,MOD,
12_7_15,N2,,JU to OP,,oct,,1,0,0,1,2,6,21,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,,JU to OP,,oct,,2,2,0,2,0,1,36,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,,JU to OP,,oct,,5,1,1,2,0,2,93,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,OP50,OP to JU,,oct,,0,0,0,0,0,1,20,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,OP50,OP to JU,,oct,,1,0,1,0,1,0,20,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,OP50,OP to JU,,oct,,0,2,0,1,0,1,36,MOD,unclear whether these transfers used gentamycin
12_7_15,N2,,deadOP to JU,,oct,,0,0,0,2,0,5,17,MOD,
12_7_15,N2,,deadOP to JU,,oct,,1,1,1,0,0,1,10,MOD,
12_7_15,,,,,oct,,,,,,,,,MOD,
12_7_15,N2,,deadJU to OP,,oct,,7,1,1,5,4,12,57,MOD,
12_7_15,N2,,deadJU to OP,,oct,,3,3,4,8,2,7,75,MOD,
12_7_15,N2,,deadJU to OP,,oct,,0,0,3,2,1,6,43,MOD,
12_7_15,N2,,amp_JU,,oct,,2,0,0,2,0,7,43,MOD,
12_7_15,N2,,amp_JU,,oct,,1,0,0,4,1,10,48,MOD,
12_7_15,N2,,amp_JU,,oct,,3,0,1,5,0,0,31,MOD,
12_7_15,N2,,amp_OP,,oct,,2,0,0,2,0,3,46,MOD,
12_7_15,N2,,amp_OP,,oct,,1,0,0,2,1,1,26,MOD,
12_7_15,N2,,amp_OP,,oct,,4,2,0,1,1,3,46,MOD,
12_7_15,N2,,OP to JU,,oct,,7,2,1,2,0,5,33,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,OP to JU,,oct,,0,0,1,2,0,8,19,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,OP to JU,,oct,,0,0,0,0,0,0,3,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,JU to OP,,oct,,4,1,0,2,4,7,83,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,JU to OP,,oct,,6,0,0,0,2,12,76,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,JU to OP,,oct,,0,2,0,1,7,11,55,PHC,unclear whether these transfers used gentamycin
12_7_15,N2,,JUb39_OP-LID,,oct,,3,2,1,9,3,10,156,PHC,
12_7_15,N2,,JUb39_OP-LID,,oct,,1,0,1,1,5,15,99,PHC,
12_7_15,N2,,JUb39_OP-LID,,oct,,3,1,2,3,0,15,90,PHC,
12_7_15,N2,,OP50_JU-LID,,oct,,0,0,1,2,2,11,173,PHC,
12_7_15,N2,,OP50_JU-LID,,oct,,0,0,0,5,1,13,94,PHC,
12_7_15,N2,,OP50_JU-LID,,oct,,0,2,1,1,2,45,145,PHC,
12_7_15,N2,,deadOP to JU,,oct,,3,3,3,4,4,21,135,PHC,
12_7_15,N2,,deadOP to JU,,oct,,4,5,0,2,1,5,64,PHC,
12_7_15,N2,,deadOP to JU,,oct,,3,3,1,0,1,6,58,PHC,
12_7_15,N2,,deadJU to OP,,oct,,2,0,2,0,0,37,100,PHC,
12_7_15,N2,,deadJU to OP,,oct,,0,1,3,0,2,34,67,PHC,
12_7_15,N2,,deadJU to OP,,oct,,11,0,0,0,0,7,98,PHC,
12_7_15,N2,,OP50,,oct,,0,0,1,2,1,12,141,PHC,
12_7_15,N2,,OP50,,oct,,3,0,1,3,1,24,236,PHC,
12_7_15,N2,,OP50,,oct,,1,1,0,3,1,15,118,PHC,
12_7_15,N2,,JUb39,,oct,,9,5,1,3,2,7,110,PHC,
12_7_15,N2,,JUb39,,oct,,11,2,0,2,2,32,301,PHC,
12_7_15,N2,,JUb39,,oct,,5,1,2,3,2,19,148,PHC,
12_8_15,N2,,OP50,,oct,,1,3,4,5,4,46,108,PHC,
12_8_15,N2,,OP50,,oct,,1,0,2,2,0,9,61,PHC,
12_8_15,N2,,OP50,,oct,,5,0,3,1,0,4,61,PHC,
12_8_15,N2,,OP50_JU-LID,,oct,A,85,3,1,2,2,14,172,PHC,maybe contaminated?
12_8_15,N2,,OP50_JU-LID,,oct,A,26,1,0,1,1,11,45,PHC,
12_8_15,N2,,OP50_JU-LID,,oct,A,32,2,3,5,2,10,112,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,A,5,2,3,4,5,70,167,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,A,2,0,2,5,1,13,235,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,A,3,1,4,4,2,10,150,PHC,
12_8_15,N2,,JUb39,,oct,,7,0,3,1,0,9,81,PHC,
12_8_15,N2,,JUb39,,oct,,0,1,3,2,4,11,167,PHC,
12_8_15,N2,,JUb39,,oct,,3,0,1,2,0,16,133,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,,7,0,1,2,2,3,131,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,,21,4,0,3,3,6,131,PHC,
12_8_15,N2,,JUb39_OP-LID,,oct,,45,1,3,2,3,7,276,PHC,
12_8_15,N2,,OP50_JU-LID,,oct,,1,0,0,1,1,12,89,PHC,
12_8_15,N2,,OP50_JU-LID,,oct,,3,0,3,0,2,15,185,PHC,
12_8_15,N2,,OP50_JU-LID,,oct,,0,3,3,1,3,8,99,PHC,
1_26_16,N2,,OP50,,oct,,1,1,5,2,3,19,76,PHC,
1_26_16,N2,,OP50,,oct,,0,0,2,2,3,12,94,PHC,
1_26_16,N2,,OP50,,oct,,4,0,8,7,11,17,103,PHC,
1_26_16,N2,,OP to JU,,oct,,0,3,2,3,5,19,45,PHC,
1_26_16,N2,,OP to JU,,oct,,0,1,2,7,4,9,27,PHC,
1_26_16,N2,,OP(G) to JU,,oct,,0,1,1,3,0,9,20,PHC,gentamicin treated worms during transfer
1_26_16,N2,,OP(G) to JU,,oct,,0,0,1,3,0,18,57,PHC,
1_26_16,N2,,JUb39,,oct,,14,3,1,32,2,11,74,PHC,
1_26_16,N2,,JUb39,,oct,,22,2,4,8,3,7,76,PHC,
1_26_16,N2,,JUb39,,oct,,4,3,2,7,0,9,88,PHC,
1_26_16,N2,,JU(G) to OP,,oct,,4,3,1,5,2,1,34,PHC,
1_26_16,N2,,JU(G) to OP,,oct,,7,2,6,1,2,12,89,PHC,
1_26_16,N2,,JU to OP,,oct,,13,2,1,0,2,7,94,PHC,
1_26_16,N2,,JU to OP,,oct,,3,5,3,3,2,9,64,PHC,
1_26_16,N2,,JU to OP,,oct,,14,4,1,3,4,11,73,PHC,
1_26_16,N2,,OP50,,hex,,35,10,6,7,1,56,120,MOD,
1_26_16,N2,,OP50,,hex,,28,9,1,15,0,48,21,MOD,
1_26_16,N2,,OP50,,hex,,9,3,6,10,1,28,9,MOD,
1_26_16,N2,,JUb39,,hex,,72,17,4,10,5,45,31,MOD,
1_26_16,N2,,JUb39,,hex,,111,24,16,85,5,65,26,MOD,
1_26_16,N2,,JUb39,,hex,,84,5,7,16,7,25,35,MOD,
