date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,1,8.9,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,2,7.4,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,3,5.1,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,4,5.2,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,5,6.6,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,6,1.3,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,7,1.5,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,8,8.4,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,9,8.4,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,10,8,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,11,4.1,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,12,5.9,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,13,3.9,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,14,2.6,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,15,5.2,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,16,4.6,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,17,7.7,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,18,4.3,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,19,1.6,NA,NA,non-paralyzed,
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,20,6.6,NA,NA,non-paralyzed,
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,21,4.5,NA,NA,non-paralyzed,
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,22,6.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,23,9.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,24,7,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,25,5.8,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,26,3.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,27,6.3,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,28,4.8,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,29,5.2,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,30,8.9,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,31,11.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,32,3.2,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,33,5.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,34,2.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,35,6.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,36,6.3,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,37,4.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,38,6,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,39,6.7,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,40,9.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,41,2.7,NA,NA,non-paralyzed,
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,42,6.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,43,8.3,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,44,11.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,45,8.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,46,3.6,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,47,5.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,48,3.6,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,49,2.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,50,2.9,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,51,6.9,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,52,11.1,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,53,4,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,54,5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,55,4,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,56,6.3,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,57,4,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,58,8.5,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,59,1.2,NA,NA,non-paralyzed,
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,60,3.3,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,61,5.1,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,62,3.2,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,63,3,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,64,4.4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,65,8.2,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,66,1.8,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,67,6.7,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,68,5.6,NA,NA,non-paralyzed,
