date,genotype,odorant,ring,food,Nout,Ntotal,cond
02_18_18,N2,dia,3M fructose,OP50,0,9,NGM
02_18_18,tdc-1,dia,3M fructose,OP50,0,10,NGM
02_18_18,N2,dia,3M fructose,JUb39,8,10,NGM
02_18_18,tdc-1,dia,3M fructose,JUb39,6,10,NGM
02_18_18,N2,dia,3M fructose,OP50,4,10,NGM
02_18_18,tdc-1,dia,3M fructose,OP50,0,10,NGM
02_18_18,N2,dia,3M fructose,JUb39,10,10,NGM
02_18_18,tdc-1,dia,3M fructose,JUb39,10,10,NGM
02_18_18,N2,none,3M fructose,OP50,2,10,NGM
02_18_18,tdc-1,none,3M fructose,OP50,0,10,NGM
02_18_18,N2,none,3M fructose,JUb39,6,10,NGM
02_18_18,tdc-1,none,3M fructose,JUb39,9,10,NGM
02_24_18,N2,none,3M fructose,OP50,1,8,NGM
02_24_18,N2,none,3M fructose,OP50,2,10,NGM
02_24_18,N2,none,3M fructose,JUb39,10,10,NGM
02_24_18,N2,none,3M fructose,JUb39,9,10,NGM
02_24_18,octr-1,none,3M fructose,OP50,0,10,NGM
02_24_18,octr-1,none,3M fructose,OP50,0,9,NGM
02_24_18,octr-1,none,3M fructose,JUb39,3,10,NGM
02_24_18,octr-1,none,3M fructose,JUb39,6,9,NGM
02_24_18,tbh-1,none,3M fructose,OP50,1,9,NGM
02_24_18,tbh-1,none,3M fructose,OP50,1,10,NGM
02_24_18,tbh-1,none,3M fructose,JUb39,2,10,NGM
02_24_18,tbh-1,none,3M fructose,JUb39,6,10,NGM
02_24_18,tdc-1,none,3M fructose,OP50,0,10,NGM
02_24_18,tdc-1,none,3M fructose,OP50,0,10,NGM
02_24_18,tdc-1,none,3M fructose,JUb39,5,10,NGM
02_24_18,tdc-1,none,3M fructose,JUb39,6,10,NGM
02_24_18,N2,none,3M fructose,OP50,2,10,NGM
02_24_18,N2,none,3M fructose,OP50,2,10,NGM
02_24_18,N2,none,3M fructose,JUb39,1,10,NGM
02_24_18,N2,none,3M fructose,JUb39,1,10,NGM
02_24_18,tbh-1,none,3M fructose,OP50,0,10,NGM
02_24_18,tbh-1,none,3M fructose,OP50,0,10,NGM
02_24_18,tbh-1,none,3M fructose,JUb39,2,10,NGM
02_24_18,tbh-1,none,3M fructose,JUb39,2,10,NGM
04_15_19,N2,none,3M fructose,OP50,0,9,Tyrosine
04_15_19,N2,none,3M fructose,JUb39,2,11,Tyrosine
04_15_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,3,11,Tyrosine
04_15_19,N2,none,3M fructose,OP50,2,10,Tyrosine
04_15_19,N2,none,3M fructose,JUb39,2,11,Tyrosine
04_15_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,0,9,Tyrosine
04_15_19,N2,none,3M fructose,OP50,0,10,Tyrosine
04_15_19,N2,none,3M fructose,JUb39,7,10,Tyrosine
04_15_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,4,10,Tyrosine
04_09_19,N2,none,3M fructose,OP50,0,9,Tyrosine
04_09_19,N2,none,3M fructose,JUb39,0,10,Tyrosine
04_09_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,2,10,Tyrosine
04_09_19,N2,none,3M fructose,OP50,0,10,Tyrosine
04_09_19,N2,none,3M fructose,JUb39,0,12,Tyrosine
04_09_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,0,10,Tyrosine
04_09_19,N2,none,3M fructose,OP50,0,11,Tyrosine
04_09_19,N2,none,3M fructose,JUb39,1,10,Tyrosine
04_09_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,2,11,Tyrosine
04_09_19,N2,none,3M fructose,JUb39,0,12,Tyrosine
04_09_19,N2,none,3M fructose,JUb39; tdcDel::cmR delAADC,0,9,Tyrosine
