date,group,genotype,food,animal_num,stage,number
2019_10_19,A,tdc-1,OP50,1,1-2,5
2019_10_19,A,tdc-1,OP50,1,4-8,3
2019_10_19,A,tdc-1,OP50,1,9+,1
2019_10_19,A,tdc-1,OP50,2,1-2,5
2019_10_19,A,tdc-1,OP50,2,4-8,0
2019_10_19,A,tdc-1,OP50,2,9+,0
2019_10_19,A,tdc-1,OP50,3,1-2,3
2019_10_19,A,tdc-1,OP50,3,4-8,0
2019_10_19,A,tdc-1,OP50,3,9+,0
2019_10_19,A,tdc-1,OP50,4,1-2,3
2019_10_19,A,tdc-1,OP50,4,4-8,1
2019_10_19,A,tdc-1,OP50,4,9+,0
2019_10_19,A,tdc-1,OP50,5,1-2,3
2019_10_19,A,tdc-1,OP50,5,4-8,0
2019_10_19,A,tdc-1,OP50,5,9+,0
2019_10_19,A,tdc-1,OP50,6,1-2,2
2019_10_19,A,tdc-1,OP50,6,4-8,1
2019_10_19,A,tdc-1,OP50,6,9+,0
2019_10_19,A,tdc-1,OP50,7,1-2,5
2019_10_19,A,tdc-1,OP50,7,4-8,1
2019_10_19,A,tdc-1,OP50,7,9+,0
2019_10_19,A,tdc-1,OP50,8,1-2,10
2019_10_19,A,tdc-1,OP50,8,4-8,2
2019_10_19,A,tdc-1,OP50,8,9+,1
2019_10_19,A,tdc-1,OP50,9,1-2,6
2019_10_19,A,tdc-1,OP50,9,4-8,2
2019_10_19,A,tdc-1,OP50,9,9+,0
2019_10_19,A,tdc-1,OP50,10,1-2,5
2019_10_19,A,tdc-1,OP50,10,4-8,1
2019_10_19,A,tdc-1,OP50,10,9+,0
2019_10_19,A,tdc-1,JUb39,1,1-2,4
2019_10_19,A,tdc-1,JUb39,1,4-8,2
2019_10_19,A,tdc-1,JUb39,1,9+,1
2019_10_19,A,tdc-1,JUb39,2,1-2,5
2019_10_19,A,tdc-1,JUb39,2,4-8,5
2019_10_19,A,tdc-1,JUb39,2,9+,0
2019_10_19,A,tdc-1,JUb39,3,1-2,4
2019_10_19,A,tdc-1,JUb39,3,4-8,3
2019_10_19,A,tdc-1,JUb39,3,9+,0
2019_10_19,A,tdc-1,JUb39,4,1-2,5
2019_10_19,A,tdc-1,JUb39,4,4-8,2
2019_10_19,A,tdc-1,JUb39,4,9+,0
2019_10_19,A,tdc-1,JUb39,5,1-2,5
2019_10_19,A,tdc-1,JUb39,5,4-8,4
2019_10_19,A,tdc-1,JUb39,5,9+,1
2019_10_19,A,tdc-1,JUb39,6,1-2,8
2019_10_19,A,tdc-1,JUb39,6,4-8,2
2019_10_19,A,tdc-1,JUb39,6,9+,0
2019_10_19,A,tdc-1,JUb39,7,1-2,4
2019_10_19,A,tdc-1,JUb39,7,4-8,4
2019_10_19,A,tdc-1,JUb39,7,9+,0
2019_10_19,A,tdc-1,JUb39,8,1-2,4
2019_10_19,A,tdc-1,JUb39,8,4-8,1
2019_10_19,A,tdc-1,JUb39,8,9+,0
2019_10_19,A,tdc-1,JUb39,9,1-2,4
2019_10_19,A,tdc-1,JUb39,9,4-8,4
2019_10_19,A,tdc-1,JUb39,9,9+,0
2019_10_19,A,tdc-1,JUb39,10,1-2,4
2019_10_19,A,tdc-1,JUb39,10,4-8,1
2019_10_19,A,tdc-1,JUb39,10,9+,0
2019_10_19,A,tdc-1,2KO,1,1-2,5
2019_10_19,A,tdc-1,2KO,1,4-8,1
2019_10_19,A,tdc-1,2KO,1,9+,0
2019_10_19,A,tdc-1,2KO,2,1-2,1
2019_10_19,A,tdc-1,2KO,2,4-8,0
2019_10_19,A,tdc-1,2KO,2,9+,0
2019_10_19,A,tdc-1,2KO,3,1-2,6
2019_10_19,A,tdc-1,2KO,3,4-8,0
2019_10_19,A,tdc-1,2KO,3,9+,0
2019_10_19,A,tdc-1,2KO,4,1-2,11
2019_10_19,A,tdc-1,2KO,4,4-8,1
2019_10_19,A,tdc-1,2KO,4,9+,0
2019_10_19,A,tdc-1,2KO,5,1-2,7
2019_10_19,A,tdc-1,2KO,5,4-8,1
2019_10_19,A,tdc-1,2KO,5,9+,0
2019_10_19,A,tdc-1,2KO,6,1-2,1
2019_10_19,A,tdc-1,2KO,6,4-8,1
2019_10_19,A,tdc-1,2KO,6,9+,0
2019_10_19,A,tdc-1,2KO,7,1-2,4
2019_10_19,A,tdc-1,2KO,7,4-8,2
2019_10_19,A,tdc-1,2KO,7,9+,1
2019_10_19,A,tdc-1,2KO,8,1-2,5
2019_10_19,A,tdc-1,2KO,8,4-8,0
2019_10_19,A,tdc-1,2KO,8,9+,0
2019_10_19,A,tdc-1,2KO,9,1-2,6
2019_10_19,A,tdc-1,2KO,9,4-8,1
2019_10_19,A,tdc-1,2KO,9,9+,0
2019_10_19,A,tdc-1,2KO,10,1-2,6
2019_10_19,A,tdc-1,2KO,10,4-8,0
2019_10_19,A,tdc-1,2KO,10,9+,0
2019_10_19,A,N2,OP50,1,1-2,3
2019_10_19,A,N2,OP50,1,4-8,1
2019_10_19,A,N2,OP50,1,9+,1
2019_10_19,A,N2,OP50,2,1-2,3
2019_10_19,A,N2,OP50,2,4-8,3
2019_10_19,A,N2,OP50,2,9+,0
