strain,plate,group,date,starting_date,time,day,hours,alive,dead,censored,bagged,total,note
OP50,1,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
OP50,2,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
OP50,3,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
OP50,4,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
JUb39,1,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
JUb39,2,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
JUb39,3,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
JUb39,4,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
PA14,1,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
PA14,2,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
PA14,3,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
PA14,4,1,02-Oct,02-Oct,,0,0,20,0,0,0,20,
OP50,1,1,03-Oct,02-Oct,,1,24,18,0,2,0,20,
OP50,2,1,03-Oct,02-Oct,,1,24,20,0,0,0,20,
OP50,3,1,03-Oct,02-Oct,,1,24,20,0,0,0,20,
OP50,4,1,03-Oct,02-Oct,,1,24,20,0,0,0,20,
JUb39,1,1,03-Oct,02-Oct,,1,24,20,0,0,0,20,
JUb39,2,1,03-Oct,02-Oct,,1,24,17,0,3,0,20,
JUb39,3,1,03-Oct,02-Oct,,1,24,16,0,4,0,20,
JUb39,4,1,03-Oct,02-Oct,,1,24,17,0,3,0,20,
PA14,1,1,03-Oct,02-Oct,,1,24,17,0,3,0,20,
PA14,2,1,03-Oct,02-Oct,,1,24,12,0,8,0,20,
PA14,3,1,03-Oct,02-Oct,,1,24,14,0,6,0,20,
PA14,4,1,03-Oct,02-Oct,,1,24,20,0,0,0,20,
OP50,1,1,04-Oct,02-Oct,,2,48,18,0,2,0,20,
OP50,2,1,04-Oct,02-Oct,,2,48,19,0,0,1,20,
OP50,3,1,04-Oct,02-Oct,,2,48,20,0,0,0,20,
OP50,4,1,04-Oct,02-Oct,,2,48,17,0,2,1,20,
JUb39,1,1,04-Oct,02-Oct,,2,48,18,0,2,0,20,
JUb39,2,1,04-Oct,02-Oct,,2,48,15,0,5,0,20,
JUb39,3,1,04-Oct,02-Oct,,2,48,16,0,4,0,20,
JUb39,4,1,04-Oct,02-Oct,,2,48,12,1,5,2,20,
PA14,1,1,04-Oct,02-Oct,,2,48,16,0,4,0,20,
PA14,2,1,04-Oct,02-Oct,,2,48,11,0,9,0,20,
PA14,3,1,04-Oct,02-Oct,,2,48,12,1,7,0,20,
PA14,4,1,04-Oct,02-Oct,,2,48,20,0,0,0,20,
OP50,1,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
OP50,2,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
OP50,3,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
OP50,4,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
JUb39,1,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
JUb39,2,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
JUb39,3,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
JUb39,4,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
PA14,1,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
PA14,2,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
PA14,3,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
PA14,4,2,04-Oct,04-Oct,,0,0,20,0,0,0,20,
OP50,1,1,05-Oct,02-Oct,,3,72,16,0,2,2,20,
OP50,2,1,05-Oct,02-Oct,,3,72,19,0,0,1,20,
OP50,3,1,05-Oct,02-Oct,,3,72,19,0,1,0,20,
OP50,4,1,05-Oct,02-Oct,,3,72,17,0,2,1,20,
JUb39,1,1,05-Oct,02-Oct,,3,72,13,0,7,0,20,
JUb39,2,1,05-Oct,02-Oct,,3,72,12,0,8,0,20,
JUb39,3,1,05-Oct,02-Oct,,3,72,16,0,4,0,20,
JUb39,4,1,05-Oct,02-Oct,,3,72,12,1,5,2,20,
PA14,1,1,05-Oct,02-Oct,,3,72,3,11,6,0,20,
PA14,2,1,05-Oct,02-Oct,,3,72,2,6,12,0,20,
PA14,3,1,05-Oct,02-Oct,,3,72,3,7,9,1,20,
PA14,4,1,05-Oct,02-Oct,,3,72,4,7,9,0,20,
OP50,1,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
OP50,2,2,05-Oct,04-Oct,,1,24,19,0,1,0,20,
OP50,3,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
OP50,4,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
JUb39,1,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
JUb39,2,2,05-Oct,04-Oct,,1,24,10,0,10,0,20,
JUb39,3,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
JUb39,4,2,05-Oct,04-Oct,,1,24,18,0,2,0,20,
PA14,1,2,05-Oct,04-Oct,,1,24,20,0,0,0,20,
PA14,2,2,05-Oct,04-Oct,,1,24,18,0,2,0,20,
PA14,3,2,05-Oct,04-Oct,,1,24,13,0,7,0,20,
PA14,4,2,05-Oct,04-Oct,,1,24,17,0,3,0,20,
OP50,1,1,06-Oct,02-Oct,,4,96,15,0,3,2,20,
OP50,2,1,06-Oct,02-Oct,,4,96,19,0,0,1,20,
OP50,3,1,06-Oct,02-Oct,,4,96,17,1,2,0,20,
OP50,4,1,06-Oct,02-Oct,,4,96,17,0,2,1,20,
JUb39,1,1,06-Oct,02-Oct,,4,96,10,1,9,0,20,
JUb39,2,1,06-Oct,02-Oct,,4,96,10,1,9,0,20,
JUb39,3,1,06-Oct,02-Oct,,4,96,16,0,4,0,20,
JUb39,4,1,06-Oct,02-Oct,,4,96,11,2,5,2,20,
PA14,1,1,06-Oct,02-Oct,,4,96,0,14,6,0,20,
PA14,2,1,06-Oct,02-Oct,,4,96,0,8,12,0,20,
PA14,3,1,06-Oct,02-Oct,,4,96,0,10,9,1,20,
PA14,4,1,06-Oct,02-Oct,,4,96,0,11,9,0,20,
