date,genotype,strain,assay,group,plate,RowA,RowB,C,D,RowE,RowF,User,Note
7_28_15,N2,DA1878,nonanone,A,,9,0,1,3,0,32,PHC,
7_28_15,N2,PA103,nonanone,A,,44,14,6,11,28,125,PHC,
7_28_15,N2,JUb39,nonanone,A,,5,0,2,0,1,30,PHC,
7_28_15,N2,DA1877,nonanone,A,,32,2,0,1,7,38,PHC,
7_28_15,N2,PAK,nonanone,A,,10,2,2,2,5,32,PHC,
7_28_15,N2,BM,nonanone,A,,5,1,0,2,2,31,PHC,
7_28_15,N2,OP50,nonanone,A,,18,7,3,7,9,36,PHC,
7_28_15,N2,DA1878,1-hex,A,,59,28,4,14,13,55,PHC,
7_28_15,N2,PA103,1-hex,A,,53,13,5,4,11,55,PHC,
7_28_15,N2,JUb39,1-hex,A,,47,5,5,4,1,7,PHC,
7_28_15,N2,DA1877,1-hex,A,,18,5,0,1,1,21,PHC,
7_28_15,N2,PAK,1-hex,A,,10,1,3,1,10,18,PHC,
7_28_15,N2,BM,1-hex,A,,8,2,1,3,1,10,PHC,
7_28_15,N2,OP50,1-hex,A,,18,5,3,1,6,24,PHC,
7_28_15,N2,OP50,oct,B,,3,0,9,5,18,67,PHC,
7_28_15,N2,BM,oct,B,,2,1,1,2,7,64,PHC,
7_28_15,N2,PAK,oct,B,,7,4,2,6,7,100,PHC,
7_28_15,N2,DA1877,oct,B,,2,1,0,10,15,40,PHC,
7_28_15,N2,JUb39,oct,B,,28,5,5,4,10,60,PHC,
7_28_15,N2,PA103,oct,B,,14,2,1,2,6,52,PHC,
7_28_15,N2,DA1878,oct,B,,12,7,4,6,9,50,PHC,
7_28_15,N2,OP50,nonanone,B,,15,4,2,4,2,30,PHC,
7_28_15,N2,BM,nonanone,B,,7,0,0,1,3,65,PHC,
7_28_15,N2,PAK,nonanone,B,,20,7,3,3,22,103,PHC,
7_28_15,N2,DA1877,nonanone,B,,0,1,4,0,4,3,PHC,
7_28_15,N2,JUb39,nonanone,B,,24,4,4,4,30,103,PHC,
7_28_15,N2,PA103,nonanone,B,,18,0,0,2,10,49,PHC,
7_28_15,N2,DA1878,nonanone,B,,13,3,1,1,7,36,PHC,
7_28_15,N2,DA1878,nonanone,A,,67,11,4,6,4,17,MOD,count different : CD(Left) = C CD(Right) = D
7_28_15,N2,PA103,nonanone,A,,2,3,1,3,1,35,MOD,count different : CD(Left) = C CD(Right) = D
7_28_15,N2,JUb39,nonanone,A,,8,2,4,4,7,91,MOD,count different : CD(Left) = C CD(Right) = D
7_28_15,N2,DA1877,nonanone,A,,11,3,2,1,4,39,MOD,
7_28_15,N2,PAK,nonanone,A,,3,1,3,1,4,39,MOD,
7_28_15,N2,BM,nonanone,A,,0,1,1,1,3,43,MOD,
7_28_15,N2,OP50,nonanone,A,,1,0,0,0,10,65,MOD,
7_28_15,N2,DA1878,1-hex,A,,60,6,4,2,3,11,MOD,
7_28_15,N2,PA103,1-hex,A,,42,2,2,2,5,52,MOD,
7_28_15,N2,JUb39,1-hex,A,,45,5,3,1,1,19,MOD,
7_28_15,N2,DA1877,1-hex,A,,33,4,3,3,2,19,MOD,
7_28_15,N2,PAK,1-hex,A,,31,3,3,4,3,24,MOD,
7_28_15,N2,BM,1-hex,A,,41,3,3,0,0,19,MOD,
7_28_15,N2,OP50,1-hex,A,,46,2,9,0,6,41,MOD,
7_28_15,N2,OP50,oct,B,,2,0,0,1,3,10,MOD,
7_28_15,N2,BM,oct,B,,7,0,0,0,1,27,MOD,
7_28_15,N2,PAK,oct,B,,4,3,4,1,6,27,MOD,
7_28_15,N2,DA1877,oct,B,,1,0,2,0,3,17,MOD,
7_28_15,N2,JUb39,oct,B,,8,7,8,1,3,51,MOD,
7_28_15,N2,PA103,oct,B,,4,2,6,0,1,80,MOD,
7_28_15,N2,DA1878,oct,B,,3,0,0,3,6,107,MOD,
7_28_15,N2,OP50,nonanone,B,,2,1,0,0,3,38,MOD,
7_28_15,N2,BM,nonanone,B,,12,1,1,1,1,44,MOD,
7_28_15,N2,PAK,nonanone,B,,12,4,3,5,10,99,MOD,
7_28_15,N2,DA1877,nonanone,B,,4,0,15,10,24,33,MOD,
7_28_15,N2,JUb39,nonanone,B,,26,3,9,6,1,93,MOD,
7_28_15,N2,PA103,nonanone,B,,17,3,2,3,6,98,MOD,
7_28_15,N2,DA1878,nonanone,B,,17,2,5,1,7,80,MOD,
8_10_15,N2,DA1878,1-hex,A,,25,9,2,2,5,22,PHC,
8_10_15,N2,OP50,1-hex,A,,8,0,0,1,2,10,PHC,
8_10_15,N2,PAK,1-hex,A,,29,2,5,3,12,37,PHC,
8_10_15,N2,PA103,1-hex,A,,88,8,4,2,4,73,PHC,
8_10_15,N2,DA1877,1-hex,A,,7,5,0,1,6,34,PHC,Nearly starve
8_10_15,N2,BM,1-hex,A,,29,4,3,2,4,28,PHC,
8_10_15,N2,JUb39,1-hex,A,,38,6,0,0,2,5,PHC,Nearly starve
8_10_15,N2,DA1878,nonanone,A,,27,5,1,5,12,94,PHC,
8_10_15,N2,OP50,nonanone,A,,9,2,1,2,14,58,PHC,
8_10_15,N2,PAK,nonanone,A,,26,6,8,3,20,158,PHC,
8_10_15,N2,PA103,nonanone,A,,12,3,2,3,8,134,PHC,
8_10_15,N2,DA1877,nonanone,A,,2,3,4,1,7,51,PHC,Nearly starve
8_10_15,N2,BM,nonanone,A,,7,0,3,1,3,71,PHC,
8_10_15,N2,JUb39,nonanone,A,,17,2,1,2,1,88,PHC,Nearly starve
8_10_15,N2,JUb39,oct,B,,3,1,0,0,3,32,PHC,Nearly starve
8_10_15,N2,BM,oct,B,,0,0,0,0,1,12,PHC,
8_10_15,N2,DA1877,oct,B,,0,1,3,5,12,51,PHC,Nearly starve
8_10_15,N2,PA103,oct,B,,6,0,0,1,4,75,PHC,
8_10_15,N2,PAK,oct,B,,11,2,1,2,26,164,PHC,
8_10_15,N2,OP50,oct,B,,1,0,0,0,1,42,PHC,
8_10_15,N2,DA1878,oct,B,,1,1,2,0,12,83,PHC,
8_10_15,N2,JUb39,1-hex,B,,156,7,1,4,3,21,PHC,Nearly starve
8_10_15,N2,BM,1-hex,B,,25,2,2,4,4,18,PHC,
8_10_15,N2,DA1877,1-hex,B,,35,7,2,6,8,30,PHC,Nearly starve
8_10_15,N2,PA103,1-hex,B,,12,10,7,15,32,114,PHC,
8_10_15,N2,PAK,1-hex,B,,13,4,3,9,35,99,PHC,
8_10_15,N2,OP50,1-hex,B,,9,3,7,3,9,44,PHC,
8_10_15,N2,DA1878,1-hex,B,,21,7,9,5,5,78,PHC,
8_10_15,N2,DA1878,1-hex,A,,40,23,1,4,10,18,MOD,
8_10_15,N2,OP50,1-hex,A,,14,4,2,4,11,25,MOD,
8_10_15,N2,PAK,1-hex,A,,10,6,3,4,10,52,MOD,
8_10_15,N2,PA103,1-hex,A,,67,20,7,8,12,67,MOD,
8_10_15,N2,DA1877,1-hex,A,,52,2,3,1,5,31,MOD,Nearly starve
8_10_15,N2,BM,1-hex,A,,9,3,0,3,3,52,MOD,
8_10_15,N2,JUb39,1-hex,A,,75,7,3,3,5,27,MOD,Nearly starve
8_10_15,N2,DA1878,oct,A,,11,3,2,1,8,65,MOD,
8_10_15,N2,OP50,oct,A,,7,8,7,23,20,63,MOD,
8_10_15,N2,PAK,oct,A,,19,3,2,1,18,162,MOD,
8_10_15,N2,PA103,oct,A,,29,7,1,2,29,207,MOD,
8_10_15,N2,DA1877,oct,A,,3,1,2,2,57,74,MOD,Nearly starve
8_10_15,N2,BM,oct,A,,12,1,1,0,1,84,MOD,
8_10_15,N2,JUb39,oct,A,,62,22,1,1,5,166,MOD,Nearly starve
8_10_15,N2,JUb39,nonanone,B,,13,3,0,2,8,44,MOD,Nearly starve
8_10_15,N2,BM,nonanone,B,,16,0,0,2,3,74,MOD,
8_10_15,N2,DA1877,nonanone,B,,3,3,5,3,7,21,MOD,Nearly starve
8_10_15,N2,PA103,nonanone,B,,7,3,1,0,3,187,MOD,
8_10_15,N2,PAK,nonanone,B,,3,1,1,4,0,168,MOD,
8_10_15,N2,OP50,nonanone,B,,5,1,1,4,4,72,MOD,
8_10_15,N2,DA1878,nonanone,B,,1,0,0,0,7,36,MOD,
8_10_15,N2,JUb39,oct,B,,36,3,0,3,1,80,MOD,Nearly starve
8_10_15,N2,BM,oct,B,,2,1,2,2,5,113,MOD,
8_10_15,N2,DA1877,oct,B,,5,3,3,4,10,90,MOD,Nearly starve
8_10_15,N2,PA103,oct,B,,9,1,0,2,5,151,MOD,
8_10_15,N2,PAK,oct,B,,7,2,1,4,6,284,MOD,
8_10_15,N2,OP50,oct,B,,1,1,0,0,7,161,MOD,
8_10_15,N2,DA1878,oct,B,,8,3,2,0,3,158,MOD,
