date,genotype,strain,assay,cult.plate,plate,RowA,RowB,C,D,RowE,RowF,User,Note,meta,phylum/class
5_31_17,N2,OP50,oct,A,1,5,7,1,3,15,94,MOD,,,
5_31_17,N2,OP50,oct,A,2,7,3,3,1,11,78,,,,
5_31_17,N2,JUb39,oct,B,1,27,5,0,2,9,73,,,,
5_31_17,N2,JUb39,oct,B,2,20,6,3,0,4,45,,,,
5_31_17,ser-3,OP50,oct,A,1,5,7,9,17,48,248,,,,
5_31_17,ser-3,OP50,oct,A,2,0,2,2,16,32,110,,,,
5_31_17,ser-3,JUb39,oct,B,1,5,4,7,7,16,63,,,,
5_31_17,ser-3,JUb39,oct,B,2,4,6,1,2,8,23,,,,
5_31_17,octr-1,OP50,oct,A,1,16,5,3,5,12,39,,,,
5_31_17,octr-1,OP50,oct,A,2,9,1,1,5,4,49,,,,
5_31_17,octr-1,JUb39,oct,B,1,11,3,3,2,5,109,,,,
5_31_17,octr-1,JUb39,oct,B,2,15,6,0,2,37,85,,,,
6_10_17,N2,OP50,oct,A,1,5,3,2,5,58,134,,,,
6_10_17,N2,OP50,oct,A,2,5,0,0,3,42,204,,,,
6_10_17,N2,JUb39,oct,B,1,2,8,0,1,22,291,,,,
6_10_17,N2,JUb39,oct,B,2,5,12,3,13,2,68,,,,
6_10_17,tbh-1,OP50,oct,A,1,6,5,4,4,35,105,,,,
6_10_17,tbh-1,OP50,oct,A,2,3,2,3,1,66,109,,,,
6_10_17,tbh-1,JUb39,oct,B,1,0,1,0,2,11,24,,,,
6_10_17,tbh-1,JUb39,oct,B,2,8,1,0,4,11,95,,,,
6_10_17,ser-3,OP50,oct,A,1,0,1,4,3,32,215,,,,
6_10_17,ser-3,OP50,oct,A,2,4,6,5,1,15,105,,,,
6_10_17,ser-3,JUb39,oct,B,1,1,3,2,7,36,130,,,,
6_10_17,ser-3,JUb39,oct,B,2,4,1,1,2,60,79,,,,
6_10_17,octr-1,OP50,oct,A,1,8,1,1,3,18,117,,,,
6_10_17,octr-1,OP50,oct,A,2,0,1,3,10,24,83,,,,
6_10_17,octr-1,JUb39,oct,B,1,4,6,6,6,16,165,,,,
6_10_17,octr-1,JUb39,oct,B,2,2,1,1,3,27,142,,,,
6_12_17,N2,OP50,oct,A,1,1,1,3,2,87,151,,,,
6_12_17,N2,OP50,oct,A,2,3,0,0,7,8,89,,,,
6_12_17,N2,JUb39,oct,B,1,2,3,6,8,36,138,,,,
6_12_17,N2,JUb39,oct,B,2,7,3,4,6,47,177,,,,
6_12_17,tbh-1,OP50,oct,A,1,2,4,2,22,83,165,,,,
6_12_17,tbh-1,OP50,oct,A,2,,,,,,,,,,
6_12_17,tbh-1,JUb39,oct,B,1,5,1,1,3,1,57,,,,
6_12_17,tbh-1,JUb39,oct,B,2,1,0,0,2,7,114,,,,
6_12_17,ser-3,OP50,oct,A,1,6,2,2,15,28,216,,,,
6_12_17,ser-3,OP50,oct,A,2,7,3,10,57,65,110,,,,
6_12_17,ser-3,JUb39,oct,B,1,22,17,9,46,56,168,,,,
6_12_17,ser-3,JUb39,oct,B,2,7,9,1,2,1,21,,,,
6_12_17,octr-1,OP50,oct,A,1,7,3,11,24,75,79,,,,
6_12_17,octr-1,OP50,oct,A,2,1,1,6,11,44,55,,,,
6_12_17,octr-1,JUb39,oct,B,1,1,0,1,2,9,135,,,,
6_12_17,octr-1,JUb39,oct,B,2,4,4,8,9,19,59,,,,
4_18_17,N2,OP50,oct,A,1,2,0,0,1,19,104,PHC,,"A = cue, F = etoh",Gammaproteobacteria
4_18_17,N2,OP50,oct,A,2,1,1,3,3,26,154,PHC,,,Gammaproteobacteria
4_18_17,N2,JUb39,oct,A,1,9,3,5,10,44,134,PHC,,,Gammaproteobacteria
4_18_17,N2,JUb39,oct,A,2,1,3,6,4,19,113,PHC,,,Gammaproteobacteria
4_18_17,tyra-3,OP50,oct,A,1,1,0,2,8,47,113,PHC,,,Gammaproteobacteria
4_18_17,tyra-3,OP50,oct,A,2,0,0,0,5,16,55,PHC,,,Gammaproteobacteria
4_18_17,tyra-3,JUb39,oct,A,1,3,8,3,6,49,108,PHC,,,Gammaproteobacteria
4_18_17,tyra-3,JUb39,oct,A,2,4,2,4,10,33,83,PHC,,,Gammaproteobacteria
4_18_17,N2,MOB007,oct,A,1,8,2,2,11,15,198,PHC,,,Gammaproteobacteria
4_18_17,N2,MOB007,oct,A,2,0,2,1,5,7,107,PHC,,,Gammaproteobacteria
4_18_17,N2,OP50,oct,B,1,0,1,4,8,53,168,MOD,,,Gammaproteobacteria
4_18_17,N2,OP50,oct,B,2,3,0,2,4,7,78,MOD,,,Gammaproteobacteria
4_18_17,tyra-3,OP50,oct,B,1,0,0,0,7,61,70,MOD,,,Gammaproteobacteria
4_18_17,tyra-3,OP50,oct,B,2,3,2,2,3,26,33,MOD,,,Gammaproteobacteria
4_18_17,tyra-3,JUb39,oct,B,1,4,5,5,2,38,103,MOD,,,Gammaproteobacteria
4_18_17,tyra-3,JUb39,oct,B,2,1,2,4,4,13,40,MOD,,,Gammaproteobacteria
7_22_18,tyra-3,OP50,oct,,1,15,4,1,5,16,78,,,,
7_22_18,tyra-3,OP50,oct,,2,8,2,3,9,26,107,,,,
7_22_18,tyra-3,OP50,oct,,3,0,0,0,0,6,18,,,,
7_22_18,tyra-3,JUb39,oct,,1,6,3,1,5,16,39,,,,
7_22_18,tyra-3,JUb39,oct,,2,10,3,1,1,3,36,,,,
7_22_18,tyra-3,JUb39,oct,,3,8,1,2,2,2,19,,,,
7_22_18,ser-1,OP50,oct,,1,4,2,1,3,19,63,,,,
7_22_18,ser-1,OP50,oct,,2,15,2,4,2,22,76,,,,
7_22_18,ser-1,JUb39,oct,,1,6,3,3,3,10,25,,,,
7_22_18,ser-1,JUb39,oct,,2,9,2,2,3,2,38,,,,
7_22_18,tyra-2,OP50,oct,,1,19,7,2,0,5,26,,,,
7_22_18,tyra-2,OP50,oct,,2,25,10,1,5,25,61,,,,
7_22_18,tyra-2,OP50,oct,,3,1,1,1,3,8,22,,,,
7_22_18,tyra-2,JUb39,oct,,1,5,1,2,1,3,14,,,,
7_22_18,tyra-2,JUb39,oct,,2,4,1,1,1,8,5,,,,
7_22_18,tyra-2,JUb39,oct,,3,18,2,3,2,7,20,,,,
7_22_18,dop_quad,OP50,oct,,1,10,2,1,7,62,86,,,,
7_22_18,dop_quad,OP50,oct,,2,1,5,0,1,37,23,,,,
7_22_18,dop_quad,OP50,oct,,3,4,6,0,18,36,65,,,,
7_22_18,dop_quad,JUb39,oct,,1,13,7,4,4,15,43,,,,
7_22_18,dop_quad,JUb39,oct,,2,21,6,3,6,43,54,,,,
7_22_18,dop_quad,JUb39,oct,,3,23,0,3,4,27,96,,,,
7_22_18,octr-1,OP50,oct,,1,9,2,0,0,0,20,,,,
7_22_18,octr-1,OP50,oct,,2,13,0,1,2,11,43,,,,
7_22_18,octr-1,OP50,oct,,3,14,4,0,1,9,30,,,,
7_22_18,octr-1,JUb39,oct,,1,0,1,0,2,4,33,,,,
7_22_18,octr-1,JUb39,oct,,2,14,6,0,1,5,39,,,,
7_22_18,octr-1,JUb39,oct,,3,14,3,3,2,5,60,,,,
7_22_18,N2,OP50,oct,,1,3,0,2,1,1,16,,,,
7_22_18,N2,OP50,oct,,2,10,1,3,3,11,49,,,,
7_22_18,N2,JUb39,oct,,1,33,6,0,5,24,29,,,,
7_22_18,N2,JUb39,oct,,2,31,1,5,6,26,68,,,,
7_22_18,N2,JUb39,oct,,3,6,5,4,3,11,40,,,,
7_22_18,N2,MOB007,oct,,1,13,1,0,1,9,41,,,,
7_22_18,N2,MOB007,oct,,2,30,4,8,6,5,48,,,,
7_27_18,N2,OP50,oct,,1,6,0,0,5,39,64,,,,
7_27_18,N2,OP50,oct,,2,8,1,5,2,17,86,,,,
7_27_18,N2,JUb39,oct,,1,42,12,5,10,28,149,,,,
7_27_18,N2,JUb39,oct,,2,16,4,2,6,19,155,,,,
7_27_18,N2,JUb39,oct,,3,7,1,1,0,27,66,,,,
7_27_18,ser-1,OP50,oct,,1,7,0,2,8,1,45,,,,
7_27_18,ser-1,OP50,oct,,2,7,3,2,29,78,135,,,,
7_27_18,ser-1,JUb39,oct,,1,12,10,7,2,2,3,,,,
7_27_18,ser-1,JUb39,oct,,2,4,2,8,7,121,26,,,,
7_27_18,tyra-3,OP50,oct,,1,4,2,3,6,17,91,,,,
7_27_18,tyra-3,OP50,oct,,2,0,5,6,23,69,140,,,,
7_27_18,tyra-3,JUb39,oct,,1,17,3,4,12,43,71,,,,
7_27_18,tyra-3,JUb39,oct,,2,93,18,26,56,17,58,,,,
7_27_18,tyra-2,OP50,oct,,1,19,0,3,5,11,57,,,,
7_27_18,tyra-2,OP50,oct,,2,19,2,0,5,20,63,,,,
7_27_18,tyra-2,JUb39,oct,,1,99,29,9,9,22,100,,,,
7_27_18,tyra-2,JUb39,oct,,2,17,11,4,1,19,111,,,,
7_27_18,dop_quad,OP50,oct,,1,19,17,5,8,43,139,,,,
7_27_18,dop_quad,OP50,oct,,2,16,7,6,5,8,82,,,,
7_27_18,dop_quad,JUb39,oct,,1,28,9,7,5,11,119,,,,
7_27_18,dop_quad,JUb39,oct,,2,40,8,5,8,6,94,,,,
7_27_18,octr-1,OP50,oct,,1,10,5,3,5,16,84,,,,
7_27_18,octr-1,OP50,oct,,2,12,1,5,3,37,98,,,,
7_27_18,octr-1,OP50,oct,,3,14,0,6,6,5,35,,,,
7_27_18,octr-1,JUb39,oct,,1,8,2,3,1,12,85,,,,
7_27_18,octr-1,JUb39,oct,,2,12,3,0,4,21,82,,,,
7_27_18,octr-1,JUb39,oct,,3,18,3,3,5,24,67,,,,
8_20_18,N2,OP50,oct,,1,4,3,0,1,26,79,,,,
8_20_18,N2,OP50,oct,,2,3,0,0,1,4,54,,,,
8_20_18,N2,JUb39,oct,,1,3,1,2,0,21,51,,,,
8_20_18,N2,JUb39,oct,,2,16,6,3,3,15,76,,,,
8_20_18,dop_quad,OP50,oct,,1,2,1,1,0,7,28,,,,
8_20_18,dop_quad,OP50,oct,,2,4,3,1,3,46,10,,,,
8_20_18,dop_quad,OP50,oct,,3,3,2,1,2,28,4,,,,
8_20_18,dop_quad,JUb39,oct,,1,3,3,0,1,7,10,,,,
8_20_18,dop_quad,JUb39,oct,,2,4,10,2,1,15,13,,,,
8_20_18,dop_quad,JUb39,oct,,3,9,3,0,0,1,24,,,,
8_20_18,tyra-2,OP50,oct,,1,3,3,2,6,37,5,,,,
8_20_18,tyra-2,OP50,oct,,2,15,6,0,1,8,15,,,,
8_20_18,tyra-2,OP50,oct,,3,3,7,1,3,66,48,,,,
8_20_18,tyra-2,JUb39,oct,,1,25,33,3,12,25,20,,,,
8_20_18,tyra-2,JUb39,oct,,2,8,3,2,3,33,52,,,,
8_20_18,tyra-2,JUb39,oct,,3,4,2,0,1,6,19,,,,
