date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2765,7.9,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2766,9.9,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2767,3.5,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2768,1.7,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2769,13.3,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2770,3.4,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2771,8.9,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2772,3.1,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2773,7.3,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2774,5.8,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2775,4.4,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2776,1.4,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2777,9,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2778,5.8,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2779,3.2,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2780,6,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2781,4.6,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2782,6.5,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2783,2.3,NA,NA,non-paralyzed
2019_03_18,N2,OP50,20min_off_food,oct_0.3,160,2784,6.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2785,3.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2786,6.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2787,4.7,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2788,2.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2789,3.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2790,1.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2791,1.6,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2792,4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2793,6,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2794,2.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2795,2,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2796,2.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2797,3,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2798,4.1,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2799,4.3,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2800,2.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2801,4.5,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2802,2.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2803,8.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,OP50,20min_off_food,oct_0.3,161,2804,2.8,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2765,2.2,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2766,5.9,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2767,11.3,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2768,8.4,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2769,7.8,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2770,14.1,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2771,3.9,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2772,3.2,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2773,8.9,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2774,2.2,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2775,4.4,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2776,12.6,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2777,12.8,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2778,6.4,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2779,2.9,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2780,9.9,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2781,8.6,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2782,5.4,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2783,4.5,NA,NA,non-paralyzed
2019_03_18,N2,JUb39,20min_off_food,oct_0.3,162,2784,6.3,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2785,4,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2786,13,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2787,11.2,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2788,6,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2789,6.9,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2790,8.1,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2791,3.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2792,3.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2793,1.4,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2794,12.1,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2795,4.5,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2796,4.3,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2798,1.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2799,1.9,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2800,9.1,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2801,6.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2802,11.8,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2803,4.5,NA,NA,non-paralyzed
2019_03_18,tdc-1,JUb39,20min_off_food,oct_0.3,163,2804,18.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3142,10.4,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3143,1.5,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3144,1.8,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3145,2.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3146,4.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3147,3.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3148,9.3,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3149,8.8,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3150,2.9,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3151,1.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3152,4.8,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3153,5.5,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3154,1.5,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3155,4.6,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3156,2.9,NA,NA,non-paralyzed
2019_04_09,N2,OP50,20min_off_food,oct_0.3,180,3157,1.8,NA,NA,non-paralyzed
