date,genotype,animal,food,cond,cue,response.time,pir,group,paralyzed,plateID,data_type,log.response
2018_10_23,N2,340,OP50,Tyrosine,oct_1.0,8.9,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.186051276738094
2018_10_23,N2,341,OP50,Tyrosine,oct_1.0,7.4,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.0014800002101243
2018_10_23,N2,342,OP50,Tyrosine,oct_1.0,5.1,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.62924053973028
2018_10_23,N2,343,OP50,Tyrosine,oct_1.0,5.2,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.6486586255873816
2018_10_23,N2,344,OP50,Tyrosine,oct_1.0,6.6,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.8870696490323797
2018_10_23,N2,345,OP50,Tyrosine,oct_1.0,1.3,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,0.26236426446749106
2018_10_23,N2,346,OP50,Tyrosine,oct_1.0,1.5,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,0.4054651081081644
2018_10_23,N2,347,OP50,Tyrosine,oct_1.0,8.4,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.128231705849268
2018_10_23,N2,348,OP50,Tyrosine,oct_1.0,8.4,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.128231705849268
2018_10_23,N2,349,OP50,Tyrosine,oct_1.0,8,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.0794415416798357
2018_10_23,N2,350,OP50,Tyrosine,oct_1.0,4.1,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.410986973710262
2018_10_23,N2,351,OP50,Tyrosine,oct_1.0,5.9,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.7749523509116738
2018_10_23,N2,352,OP50,Tyrosine,oct_1.0,3.9,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.3609765531356006
2018_10_23,N2,353,OP50,Tyrosine,oct_1.0,2.6,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,0.9555114450274363
2018_10_23,N2,354,OP50,Tyrosine,oct_1.0,5.2,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.6486586255873816
2018_10_23,N2,355,OP50,Tyrosine,oct_1.0,4.6,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.5260563034950492
2018_10_23,N2,356,OP50,Tyrosine,oct_1.0,7.7,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,2.0412203288596382
2018_10_23,N2,357,OP50,Tyrosine,oct_1.0,4.3,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.4586150226995167
2018_10_23,N2,358,OP50,Tyrosine,oct_1.0,1.6,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,0.47000362924573563
2018_10_23,N2,359,OP50,Tyrosine,oct_1.0,6.6,NA,NA,non-paralyzed,N2.OP50.2018_10_23.oct_1.0.Tyrosine,raw,1.8870696490323797
