date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type,log.response
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,340,8.9,NA,NA,non-paralyzed,raw,2.186051276738094
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,341,7.4,NA,NA,non-paralyzed,raw,2.0014800002101243
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,342,5.1,NA,NA,non-paralyzed,raw,1.62924053973028
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,343,5.2,NA,NA,non-paralyzed,raw,1.6486586255873816
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,344,6.6,NA,NA,non-paralyzed,raw,1.8870696490323797
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,345,1.3,NA,NA,non-paralyzed,raw,0.26236426446749106
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,346,1.5,NA,NA,non-paralyzed,raw,0.4054651081081644
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,347,8.4,NA,NA,non-paralyzed,raw,2.128231705849268
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,348,8.4,NA,NA,non-paralyzed,raw,2.128231705849268
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,349,8,NA,NA,non-paralyzed,raw,2.0794415416798357
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,350,4.1,NA,NA,non-paralyzed,raw,1.410986973710262
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,351,5.9,NA,NA,non-paralyzed,raw,1.7749523509116738
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,352,3.9,NA,NA,non-paralyzed,raw,1.3609765531356006
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,353,2.6,NA,NA,non-paralyzed,raw,0.9555114450274363
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,354,5.2,NA,NA,non-paralyzed,raw,1.6486586255873816
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,355,4.6,NA,NA,non-paralyzed,raw,1.5260563034950492
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,356,7.7,NA,NA,non-paralyzed,raw,2.0412203288596382
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,357,4.3,NA,NA,non-paralyzed,raw,1.4586150226995167
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,358,1.6,NA,NA,non-paralyzed,raw,0.47000362924573563
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,359,6.6,NA,NA,non-paralyzed,raw,1.8870696490323797
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,361,4.5,NA,NA,non-paralyzed,raw,1.5040773967762742
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,364,6.1,NA,NA,non-paralyzed,raw,1.8082887711792655
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,372,10.1,NA,NA,non-paralyzed,raw,2.3125354238472138
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,373,7.4,NA,NA,non-paralyzed,raw,2.0014800002101243
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,374,5.1,NA,NA,non-paralyzed,raw,1.62924053973028
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,375,11.5,NA,NA,non-paralyzed,raw,2.4423470353692043
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,376,9.8,NA,NA,non-paralyzed,raw,2.2823823856765264
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,377,3.3,NA,NA,non-paralyzed,raw,1.1939224684724346
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,378,7.2,NA,NA,non-paralyzed,raw,1.9740810260220096
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,379,15.3,NA,NA,non-paralyzed,raw,2.72785282839839
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,380,4.9,NA,NA,non-paralyzed,raw,1.589235205116581
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,381,8.7,NA,NA,non-paralyzed,raw,2.163323025660538
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,382,4.9,NA,NA,non-paralyzed,raw,1.589235205116581
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,383,7.8,NA,NA,non-paralyzed,raw,2.0541237336955462
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,384,4,NA,NA,non-paralyzed,raw,1.3862943611198906
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,385,6.9,NA,NA,non-paralyzed,raw,1.9315214116032138
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,386,8,NA,NA,non-paralyzed,raw,2.0794415416798357
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,387,7.6,NA,NA,non-paralyzed,raw,2.028148247292285
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,388,4.8,NA,NA,non-paralyzed,raw,1.5686159179138452
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,389,4.9,NA,NA,non-paralyzed,raw,1.589235205116581
2018_10_23,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,41,390,5.9,NA,NA,non-paralyzed,raw,1.7749523509116738
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,571,5.1,NA,NA,non-paralyzed,raw,1.62924053973028
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,572,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,573,3,NA,NA,non-paralyzed,raw,1.0986122886681098
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,574,4.4,NA,NA,non-paralyzed,raw,1.4816045409242156
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,575,8.2,NA,NA,non-paralyzed,raw,2.1041341542702074
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,576,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,577,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,578,5.6,NA,NA,non-paralyzed,raw,1.7227665977411035
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,579,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,580,4,NA,NA,non-paralyzed,raw,1.3862943611198906
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,581,3.8,NA,NA,non-paralyzed,raw,1.33500106673234
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,582,3.7,NA,NA,non-paralyzed,raw,1.308332819650179
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,583,2.4,NA,NA,non-paralyzed,raw,0.8754687373538999
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,584,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,585,5.4,NA,NA,non-paralyzed,raw,1.6863989535702288
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,586,3,NA,NA,non-paralyzed,raw,1.0986122886681098
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,587,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,588,3.4,NA,NA,non-paralyzed,raw,1.2237754316221157
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,589,3.8,NA,NA,non-paralyzed,raw,1.33500106673234
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,590,1.1,NA,NA,non-paralyzed,raw,0.09531017980432493
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,593,9,NA,NA,non-paralyzed,raw,2.1972245773362196
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,594,13.6,NA,NA,non-paralyzed,raw,2.6100697927420065
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,596,15.7,NA,NA,non-paralyzed,raw,2.7536607123542622
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,597,4.9,NA,NA,non-paralyzed,raw,1.589235205116581
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,598,6.1,NA,NA,non-paralyzed,raw,1.8082887711792655
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,600,7.5,NA,NA,non-paralyzed,raw,2.0149030205422647
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,603,12.9,NA,NA,non-paralyzed,raw,2.5572273113676265
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,604,9.1,NA,NA,non-paralyzed,raw,2.2082744135228043
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,605,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,606,5,NA,NA,non-paralyzed,raw,1.6094379124341003
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,607,10.1,NA,NA,non-paralyzed,raw,2.3125354238472138
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,608,13.6,NA,NA,non-paralyzed,raw,2.6100697927420065
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,609,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
