date,genotype,strain,plate,group,odorant.order,soak.order,source.plate,assay,conc,nCue,nControl,outside,dead,fungus,note,user,bench,scorer
7_13_15,N2,OP50,1,A,NA,1,A,bz,0.005,140,2,13,3,0,,PHC,PHC,PHC
7_13_15,N2,OP50,2,A,NA,2,A,bz,0.005,212,1,32,3,0,,PHC,PHC,PHC
7_13_15,N2,DA1878,3,A,NA,5,C,bz,0.005,260,29,40,4,3,,PHC,PHC,PHC
7_13_15,N2,DA1878,4,A,NA,6,C,bz,0.005,124,29,49,3,3,,PHC,PHC,PHC
7_13_15,N2,JUb39,5,B,NA,3,E,bz,0.005,70,56,56,3,2,,PHC,PHC,PHC
7_13_15,N2,JUb39,6,B,NA,4,E,bz,0.005,73,11,45,3,2,,PHC,PHC,PHC
7_13_15,N2,OP50,3,A,NA,3,B,IAA,0.01,54,6,6,0,6,,PHC,PHC,PHC
7_13_15,N2,OP50,4,A,NA,4,B,IAA,0.01,61,5,14,0,6,,PHC,PHC,PHC
7_13_15,N2,DA1878,7,B,NA,1,D,IAA,0.01,171,24,30,1,1,,PHC,PHC,PHC
7_13_15,N2,DA1878,8,B,NA,2,D,IAA,0.01,138,17,40,2,1,,PHC,PHC,PHC
7_14_15,N2,JUb39,7,A,NA,1,A,diacetyl,0.001,266,42,14,2,2,,PHC,PHC,PHC
7_14_15,N2,JUb39,8,A,NA,2,A,diacetyl,0.001,200,10,4,0,2,,PHC,PHC,PHC
7_14_15,N2,DA1878,9,A,NA,3,B,diacetyl,0.001,238,23,65,8,1,,PHC,PHC,PHC
7_14_15,N2,DA1878,10,A,NA,4,B,diacetyl,0.001,291,67,47,4,1,,PHC,PHC,PHC
7_14_15,N2,OP50,11,B,NA,1,D,diacetyl,0.001,101,0,19,3,4,,PHC,PHC,PHC
7_14_15,N2,OP50,12,B,NA,2,D,diacetyl,0.001,55,3,111,1,4,,PHC,PHC,PHC
7_14_15,N2,OP50,9,B,NA,3,E,IAA,0.01,143,4,13,2,9,,PHC,PHC,PHC
7_14_15,N2,OP50,10,B,NA,4,E,IAA,0.01,225,6,15,3,9,,PHC,PHC,PHC
7_14_15,N2,DA1878,11,B,NA,5,F,IAA,0.01,208,18,20,2,1,,PHC,PHC,PHC
7_14_15,N2,DA1878,12,B,NA,6,F,IAA,0.01,187,3,7,1,1,,PHC,PHC,PHC
7_15_15,N2,DA1878,5,A,NA,5,C,IAA,0.01,182,17,15,0,1,smoke,PHC,PHC,PHC
7_15_15,N2,DA1878,6,A,NA,6,C,IAA,0.01,177,3,10,1,1,smoke,PHC,PHC,PHC
7_15_15,N2,OP50,11,B,NA,5,F,IAA,0.01,52,0,7,3,9,smoke,PHC,PHC,PHC
7_15_15,N2,OP50,12,B,NA,6,F,IAA,0.01,91,4,8,5,9,smoke,PHC,PHC,PHC
