date,genotype,strain,treatment_det,treatment,feed_state,assay,group,plate,RowA,RowB,CD_left,CD_middle,CD_right,RowE,RowF,User,Note
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A1,,1,3,0,0,2,6,73,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A2,,2,2,0,0,0,5,118,PHC,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,oct,B1,,1,23,3,0,1,9,82,PHC,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,oct,B2,,2,5,2,0,0,5,43,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,nona,A1,,0,0,2,3,3,25,86,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,nona,A2,,0,0,1,2,1,7,100,PHC,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,nona,B1,,0,0,1,0,1,22,58,PHC,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,nona,B2,,0,0,1,2,0,11,44,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C5,,3,11,2,2,3,14,92,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C5,,2,2,2,2,0,10,73,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C6,,3,3,0,0,1,12,63,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C6,,3,1,1,0,2,17,84,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D5,,0,8,1,0,1,16,91,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D5,,1,1,1,1,0,52,83,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D6,,4,1,0,0,0,15,71,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D6,,10,2,1,2,0,11,97,PHC,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E9,,3,5,1,0,0,11,38,PHC,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E9,,4,5,1,0,1,8,34,PHC,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E10,,5,4,1,1,0,12,73,PHC,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E10,,1,5,0,0,0,14,73,PHC,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F9,,12,6,0,1,0,14,69,PHC,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F9,,2,6,0,1,0,8,41,PHC,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F10,,1,1,0,0,0,2,11,PHC,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F10,,2,2,1,1,2,18,52,PHC,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G1,,5,4,0,2,2,17,36,PHC,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G1,,1,1,1,2,0,12,63,PHC,2hr
