date,genotype,strain,assay,RowA,RowB,CD(Left),CD(middle),CD(right),RowE,RowF,User,Note
5_10_16,N2,OP50,oct,0,0,2,1,0,7,137,PHC,
5_10_16,N2,OP50,oct,0,0,10,2,3,82,134,PHC,
5_10_16,N2,JUb39,oct,6,0,3,2,0,4,67,PHC,
5_10_16,N2,JUb39,oct,1,0,0,3,4,24,75,PHC,
5_10_16,N2,JUb39,oct,2,1,3,3,1,0,80,PHC,
5_10_16,N2,JUb39,oct,8,1,1,1,1,19,77,PHC,
5_10_16,tph-1,OP50,oct,3,1,0,2,0,3,71,PHC,
5_10_16,tph-1,OP50,oct,0,0,1,1,1,2,86,PHC,
5_10_16,tph-1,OP50,oct,1,0,2,1,0,3,85,PHC,
5_10_16,tph-1,JUb39,oct,5,3,3,1,0,8,159,PHC,
5_10_16,tph-1,JUb39,oct,3,0,1,0,0,3,71,PHC,
5_10_16,tph-1,JUb39,oct,5,0,3,0,0,7,173,PHC,
5_10_16,tph-1,JUb39,oct,22,4,1,2,1,3,190,PHC,
6_7_16,N2,OP50,oct,0,0,0,2,5,8,55,MOD,
6_7_16,N2,OP50,oct,0,0,1,2,1,9,29,MOD,
6_7_16,N2,JUb39,oct,7,2,0,40,2,9,33,MOD,
6_7_16,N2,JUb39,oct,11,1,0,2,0,4,23,MOD,
6_7_16,N2,JUb39,oct,5,1,3,4,0,4,28,MOD,
6_7_16,N2,JUb39,oct,10,0,5,3,1,4,31,MOD,
6_7_16,tph-1,OP50,oct,0,0,1,2,0,0,3,MOD,
6_7_16,tph-1,OP50,oct,3,0,1,2,1,4,8,MOD,
6_7_16,tph-1,OP50,oct,1,1,0,2,1,5,14,MOD,
6_7_16,tph-1,OP50,oct,0,0,2,3,1,6,18,MOD,
6_7_16,tph-1,JUb39,oct,5,0,2,1,0,0,12,MOD,
6_7_16,tph-1,JUb39,oct,9,1,1,1,0,1,67,MOD,
6_7_16,tph-1,JUb39,oct,10,1,2,2,2,0,53,MOD,
6_7_16,tph-1,JUb39,oct,13,1,2,10,1,4,55,MOD,
6_7_16,N2,OP50,oct,0,0,4,0,3,44,65,PHC,
6_7_16,N2,OP50,oct,0,1,2,0,1,5,44,PHC,
6_7_16,N2,OP50,oct,0,0,4,1,0,10,68,PHC,
6_7_16,N2,JUb39,oct,3,1,2,1,0,4,35,PHC,
6_7_16,N2,JUb39,oct,5,5,6,4,8,17,54,PHC,
6_7_16,N2,JUb39,oct,1,2,3,0,1,9,61,PHC,
6_14_16,N2,OP50,oct,4,4,7,30,2,83,124,MOD,
6_14_16,N2,OP50,oct,5,1,3,12,4,46,81,MOD,
6_14_16,N2,OP50,oct,2,0,2,8,3,27,65,MOD,
6_14_16,N2,OP50,oct,0,1,1,4,4,92,112,MOD,
6_14_16,N2,JUb39,oct,1,0,0,10,1,21,62,MOD,
6_14_16,N2,JUb39,oct,7,1,2,3,1,4,93,MOD,
6_14_16,N2,JUb39,oct,9,2,2,15,3,14,115,MOD,
6_14_16,N2,JUb39,oct,4,1,0,8,1,7,86,MOD,
6_14_16,tph-1,OP50,oct,0,1,1,1,0,15,35,MOD,
6_14_16,tph-1,OP50,oct,0,1,0,3,0,15,62,MOD,
6_14_16,tph-1,OP50,oct,2,1,0,5,1,47,89,MOD,
6_14_16,tph-1,OP50,oct,0,0,2,1,0,21,81,MOD,
6_14_16,tph-1,JUb39,oct,5,1,2,3,1,8,56,MOD,
6_14_16,tph-1,JUb39,oct,13,1,0,1,1,1,34,MOD,
6_14_16,tph-1,JUb39,oct,6,4,1,2,1,6,55,MOD,
6_14_16,tph-1,JUb39,oct,6,1,1,1,2,3,93,MOD,
6_14_16,N2,OP50,oct,0,0,2,0,1,3,13,PHC,
6_14_16,N2,OP50,oct,1,0,2,1,3,25,61,PHC,
6_14_16,N2,OP50,oct,1,0,0,1,2,23,37,PHC,
6_14_16,N2,OP50,oct,1,0,12,18,4,50,147,PHC,
6_14_16,N2,JUb39,oct,1,5,1,2,4,7,37,PHC,
6_14_16,N2,JUb39,oct,6,1,2,0,3,17,47,PHC,
6_14_16,N2,JUb39,oct,11,7,7,11,8,34,69,PHC,
6_14_16,N2,JUb39,oct,13,4,3,11,4,23,108,PHC,
6_14_16,tph-1,OP50,oct,0,1,1,1,1,3,38,PHC,
6_14_16,tph-1,OP50,oct,1,4,1,1,2,20,124,PHC,
6_14_16,tph-1,OP50,oct,0,0,0,6,1,22,87,PHC,
6_14_16,tph-1,OP50,oct,0,0,0,1,0,7,50,PHC,
6_14_16,tph-1,JUb39,oct,6,8,3,2,1,3,50,PHC,
6_14_16,tph-1,JUb39,oct,2,5,3,4,3,4,48,PHC,
6_14_16,tph-1,JUb39,oct,10,3,4,1,1,6,62,PHC,
6_16_18,N2,OP50,oct,2,0,0,,1,9,37,,
6_16_18,N2,OP50,oct,70,5,0,,1,20,221,,
6_16_18,N2,JUb39,oct,36,10,5,,7,6,85,,
6_16_18,N2,JUb39,oct,14,6,7,,5,21,91,,
6_16_18,N2,JUb39,oct,62,14,4,,4,6,51,,
6_16_18,cat-2,OP50,oct,3,4,7,,8,14,27,,
6_16_18,cat-2,OP50,oct,9,3,0,,2,3,50,,
6_16_18,cat-2,OP50,oct,7,1,1,,5,41,55,,
6_16_18,cat-2,JUb39,oct,14,16,4,,3,5,13,,
6_16_18,cat-2,JUb39,oct,14,9,4,,2,5,10,,
6_16_18,cat-2,JUb39,oct,17,7,0,,3,6,10,,
2019_05_07,cat-2,OP50,oct,0,0,0,,0,16,16,,
2019_05_07,cat-2,OP50,oct,2,1,0,,0,29,58,,
2019_05_07,cat-2,OP50,oct,0,0,0,,1,3,88,,
2019_05_07,cat-2,JUb39,oct,3,1,0,,1,8,80,,
2019_05_07,cat-2,JUb39,oct,35,6,1,,1,6,99,,
2019_05_07,cat-2,JUb39,oct,2,0,0,,0,0,44,,
2019_05_17,N2,OP50,oct,1,5,1,,1,19,147,,
2019_05_17,N2,OP50,oct,4,3,1,,1,1,28,,
2019_05_17,N2,JUb39,oct,10,11,0,,0,6,58,,
2019_05_17,N2,JUb39,oct,16,16,3,,2,11,66,,
2019_05_17,cat-2,OP50,oct,1,3,1,,1,10,37,,
2019_05_17,cat-2,OP50,oct,0,0,0,,0,4,33,,
2019_05_17,cat-2,OP50,oct,0,0,0,,0,4,9,,
2019_05_17,cat-2,JUb39,oct,15,8,1,,1,4,21,,
2019_05_17,cat-2,JUb39,oct,7,2,0,,1,0,41,,
2019_05_17,cat-2,JUb39,oct,7,2,1,,0,3,26,,
