date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,220,2.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,221,1.5,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,222,2,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,223,1.7,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,224,3.7,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,225,5.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,226,3.2,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,227,1.6,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,228,8.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,229,4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,230,6.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,231,6.7,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,232,5.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,233,1.3,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,234,2.8,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,235,3.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,236,3.8,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,237,5.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,238,1.7,NA,NA,non-paralyzed
2018_10_23,N2,OP50,off_food,oct_1.0,33,239,4.1,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,241,9.5,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,242,8.1,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,243,7.1,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,244,8.9,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,245,3.3,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,247,3.1,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,248,6.9,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,249,11.3,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,250,3.4,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,251,11.2,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,252,2.9,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,253,7.5,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,254,6.7,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,255,1.9,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,256,3.2,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,off_food,oct_1.0,34,257,5.7,NA,NA,non-paralyzed
