date,genotype,animal,food,cond,cue,response.time,pir,group
2019_03_19,N2,2943,OP50,Tyrosine,nonanone_1.0,1.7,,
2019_03_19,N2,2944,OP50,Tyrosine,nonanone_1.0,1.7,,
2019_03_19,N2,2945,OP50,Tyrosine,nonanone_1.0,1.8,,
2019_03_19,N2,2946,OP50,Tyrosine,nonanone_1.0,2.2,,
2019_03_19,N2,2947,OP50,Tyrosine,nonanone_1.0,3.7,,
2019_03_19,N2,2948,OP50,Tyrosine,nonanone_1.0,1.1,,
2019_03_19,N2,2949,OP50,Tyrosine,nonanone_1.0,1.1,,
2019_03_19,N2,2950,OP50,Tyrosine,nonanone_1.0,1.6,,
2019_03_19,N2,2951,OP50,Tyrosine,nonanone_1.0,1.8,,
2019_03_19,N2,2952,OP50,Tyrosine,nonanone_1.0,1.8,,
2019_03_19,N2,2953,OP50,Tyrosine,nonanone_1.0,2.8,,
2019_03_19,N2,2954,OP50,Tyrosine,nonanone_1.0,2.7,,
2019_03_19,N2,2955,OP50,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2956,OP50,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2957,OP50,Tyrosine,nonanone_1.0,1.2,,
2019_03_19,N2,2958,OP50,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2959,OP50,Tyrosine,nonanone_1.0,1.1,,
2019_03_19,N2,2960,OP50,Tyrosine,nonanone_1.0,1.4,,
2019_03_19,N2,2961,OP50,Tyrosine,nonanone_1.0,0.9,,
2019_03_19,N2,2962,OP50,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2963,OP50,Tyrosine,nonanone_1.0,0.9,,
2019_03_19,N2,2964,JUb39,Tyrosine,nonanone_1.0,1.7,,
2019_03_19,N2,2965,JUb39,Tyrosine,nonanone_1.0,1.6,,
2019_03_19,N2,2966,JUb39,Tyrosine,nonanone_1.0,1.2,,
2019_03_19,N2,2967,JUb39,Tyrosine,nonanone_1.0,1.2,,
2019_03_19,N2,2968,JUb39,Tyrosine,nonanone_1.0,2.4,,
2019_03_19,N2,2969,JUb39,Tyrosine,nonanone_1.0,1.8,,
2019_03_19,N2,2970,JUb39,Tyrosine,nonanone_1.0,20,,
2019_03_19,N2,2971,JUb39,Tyrosine,nonanone_1.0,1.4,,
2019_03_19,N2,2972,JUb39,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2973,JUb39,Tyrosine,nonanone_1.0,2.4,,
2019_03_19,N2,2974,JUb39,Tyrosine,nonanone_1.0,1,,
2019_03_19,N2,2975,JUb39,Tyrosine,nonanone_1.0,1.6,,
2019_03_19,N2,2976,JUb39,Tyrosine,nonanone_1.0,1.6,,
2019_03_19,N2,2977,JUb39,Tyrosine,nonanone_1.0,0.7,,
2019_03_19,N2,2978,JUb39,Tyrosine,nonanone_1.0,1.1,,
2019_03_19,N2,2979,JUb39,Tyrosine,nonanone_1.0,1.1,,
2019_03_19,N2,2980,JUb39,Tyrosine,nonanone_1.0,1.3,,
2019_03_19,N2,2981,JUb39,Tyrosine,nonanone_1.0,1.7,,
2019_03_19,N2,2982,JUb39,Tyrosine,nonanone_1.0,1.9,,
2019_03_19,N2,2983,JUb39,Tyrosine,nonanone_1.0,1.4,,
2019_03_19,N2,2984,JUb39,Tyrosine,nonanone_1.0,1.1,,
2019_04_02,N2,3099,OP50,Tyrosine,nonanone_1.0,1.1,,
2019_04_02,N2,3100,OP50,Tyrosine,nonanone_1.0,1.3,,
2019_04_02,N2,3101,OP50,Tyrosine,nonanone_1.0,1.4,,
2019_04_02,N2,3102,OP50,Tyrosine,nonanone_1.0,1.7,,
2019_04_02,N2,3103,OP50,Tyrosine,nonanone_1.0,1.1,,
2019_04_02,N2,3104,OP50,Tyrosine,nonanone_1.0,20,,
