date,genotype,strain,assay,treatment,plate,RowA,RowB,C,D,RowE,RowF,User,Note
7_22_18,tyra-2,OP50,oct,control,1,19,7,2,0,5,26,,
7_22_18,tyra-2,OP50,oct,control,2,25,10,1,5,25,61,,
7_22_18,tyra-2,OP50,oct,control,3,1,1,1,3,8,22,,
7_22_18,tyra-2,JUb39,oct,control,4,5,1,2,1,3,14,,
7_22_18,tyra-2,JUb39,oct,control,5,4,1,1,1,8,5,,
7_22_18,tyra-2,JUb39,oct,control,6,18,2,3,2,7,20,,
7_22_18,N2,OP50,oct,control,7,3,0,2,1,1,16,,
7_22_18,N2,OP50,oct,control,8,10,1,3,3,11,49,,
7_22_18,N2,JUb39,oct,control,9,33,6,0,5,24,29,,
7_22_18,N2,JUb39,oct,control,10,31,1,5,6,26,68,,
7_22_18,N2,JUb39,oct,control,11,6,5,4,3,11,40,,
7_27_18,N2,OP50,oct,control,14,6,0,0,5,39,64,,
7_27_18,N2,OP50,oct,control,15,8,1,5,2,17,86,,
7_27_18,N2,JUb39,oct,control,16,42,12,5,10,28,149,,
7_27_18,N2,JUb39,oct,control,17,16,4,2,6,19,155,,
7_27_18,N2,JUb39,oct,control,18,7,1,1,0,27,66,,
7_27_18,tyra-2,OP50,oct,control,19,19,0,3,5,11,57,,
7_27_18,tyra-2,OP50,oct,control,20,19,2,0,5,20,63,,
7_27_18,tyra-2,JUb39,oct,control,21,99,29,9,9,22,100,,
7_27_18,tyra-2,JUb39,oct,control,22,17,11,4,1,19,111,,
8_20_18,N2,OP50,oct,control,23,4,3,0,1,26,79,,
8_20_18,N2,OP50,oct,control,24,3,0,0,1,4,54,,
8_20_18,N2,JUb39,oct,control,25,3,1,2,0,21,51,,
8_20_18,N2,JUb39,oct,control,26,16,6,3,3,15,76,,
8_20_18,tyra-2,OP50,oct,control,27,3,3,2,6,37,5,,
8_20_18,tyra-2,OP50,oct,control,28,15,6,0,1,8,15,,
8_20_18,tyra-2,OP50,oct,control,29,3,7,1,3,66,48,,
8_20_18,tyra-2,JUb39,oct,control,30,25,33,3,12,25,20,,
8_20_18,tyra-2,JUb39,oct,control,31,8,3,2,3,33,52,,
8_20_18,tyra-2,JUb39,oct,control,32,4,2,0,1,6,19,,
2018_09_04,N2,OP50,oct,control,33,2,1,4,6,11,49,,
2018_09_04,N2,OP50,oct,control,34,0,7,14,12,18,134,,
2018_09_04,N2,OP50,oct,control,35,3,0,4,7,22,118,,
2018_09_04,N2,OP50,oct,control,36,3,3,3,4,5,53,,
2018_09_04,N2,OP50,oct,control,37,6,1,3,9,12,57,,
2018_09_04,N2,OP50,oct,control,38,1,1,0,0,1,15,,
2018_09_04,N2,JUb39,oct,control,39,5,6,0,7,7,45,,
2018_09_04,N2,JUb39,oct,control,40,31,1,2,6,14,149,,
2018_09_04,N2,JUb39,oct,control,41,15,11,0,1,18,78,,
2018_09_04,N2,JUb39,oct,control,42,9,1,0,1,6,100,,
2018_09_04,N2,JUb39,oct,control,43,0,5,3,3,19,115,,
2018_09_04,N2,JUb39,oct,control,44,4,0,0,3,2,49,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,45,11,4,2,3,8,76,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,46,5,1,2,2,6,63,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,47,17,3,2,3,18,139,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,48,15,6,0,1,3,90,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,49,8,2,0,1,3,53,,
2018_09_04,N2,JUb39; tdcDel::cmR,oct,control,50,6,1,1,2,4,43,,
2018_09_04,tdc-1,OP50,oct,control,51,0,0,1,0,3,24,,
2018_09_04,tdc-1,OP50,oct,control,52,1,3,0,0,3,18,,
2018_09_04,tdc-1,OP50,oct,control,53,1,0,0,0,0,8,,
2018_09_04,tdc-1,JUb39,oct,control,54,8,0,2,0,7,67,,
2018_09_04,tdc-1,JUb39,oct,control,55,8,3,4,0,14,36,,
2018_09_04,tdc-1,JUb39,oct,control,56,1,1,0,2,1,13,,
2018_09_04,tdc-1,JUb39; tdcDel::cmR,oct,control,57,10,4,1,3,6,68,,
2018_09_04,tdc-1,JUb39; tdcDel::cmR,oct,control,58,6,4,0,1,8,29,,
2018_09_04,tdc-1,JUb39; tdcDel::cmR,oct,control,59,4,2,1,3,7,29,,
2018_10_16,N2,OP50,oct,control,60,2,2,1,0,3,64,,
2018_10_16,N2,OP50,oct,control,61,6,0,0,0,10,70,,
2018_10_16,N2,OP50,oct,control,62,3,1,0,1,3,15,,
2018_10_16,N2,JUb39,oct,control,63,4,6,1,4,11,62,,
2018_10_16,N2,JUb39,oct,control,64,2,0,1,0,0,30,,
2018_10_16,N2,JUb39,oct,control,65,8,2,3,2,28,120,,
2018_10_16,N2,JUb39; tdcDel::cmR,oct,control,66,5,4,0,2,4,47,,
2018_10_16,N2,JUb39; tdcDel::cmR,oct,control,67,2,0,0,0,4,17,,
2018_10_16,N2,JUb39; tdcDel::cmR,oct,control,68,6,1,0,3,2,45,,
2018_10_17,N2,OP50,oct,NGM_Tyr,69,5,3,2,4,6,116,,
2018_10_17,N2,OP50,oct,NGM_Tyr,70,5,4,1,3,3,128,,
2018_10_17,N2,OP50,oct,NGM_Tyr,71,9,2,1,1,4,81,,
2018_10_17,N2,JUb39; tdcDel::cmR,oct,NGM_Tyr,72,8,1,0,0,5,65,,
2018_10_17,N2,JUb39; tdcDel::cmR,oct,NGM_Tyr,73,25,5,2,7,24,117,,
2018_10_17,N2,JUb39; tdcDel::cmR,oct,NGM_Tyr,74,53,7,8,14,14,129,,
2018_10_17,N2,JUb39,oct,NGM_Tyr,75,58,9,4,1,3,48,,
2018_10_17,N2,JUb39,oct,NGM_Tyr,76,8,6,0,3,4,33,,
2018_10_17,N2,JUb39,oct,NGM_Tyr,77,9,6,1,2,3,52,,
2018_10_16,tyra-2,OP50,oct,control,78,3,2,0,2,4,58,,
2018_10_16,tyra-2,OP50,oct,control,79,8,1,1,1,6,76,,
2018_10_16,tyra-2,OP50,oct,control,80,4,7,1,0,10,46,,
2018_10_16,tyra-2,JUb39,oct,control,81,4,7,0,1,6,29,,
2018_10_16,tyra-2,JUb39,oct,control,82,10,3,1,4,5,34,,
2018_10_16,tyra-2,JUb39,oct,control,83,2,2,0,2,2,30,,
2018_10_16,tyra-2,JUb39; tdcDel::cmR,oct,control,84,4,1,0,1,9,12,,
2018_10_16,tyra-2,JUb39; tdcDel::cmR,oct,control,85,2,1,2,0,5,18,,
